# append_o ? ? [1..l]
1	0.00015
2	0.00029
3	0.00036
4	0.00049
5	0.00065
6	0.00083
7	0.00105
8	0.00129
9	0.00152
10	0.00181
11	0.00215
12	0.00290
13	0.00311
14	0.00335
15	0.00385
16	0.00437
17	0.00502
18	0.00546
19	0.00685
20	0.00712
21	0.00777
22	0.00893
23	0.00989
24	0.01080
25	0.01192
26	0.01340
27	0.01518
28	0.01570
29	0.01756
30	0.01885
31	0.01997
32	0.02257
33	0.02577
34	0.02641
35	0.02868
36	0.03233
37	0.03617
38	0.03767
39	0.03928
40	0.04427
41	0.05296
42	0.05518
43	0.06366
44	0.06152
45	0.06379
46	0.07706
47	0.07197
48	0.09223
49	0.10746
50	0.09099
51	0.10744
52	0.10793
53	0.11749
54	0.11848
55	0.14643
56	0.14729
57	0.15005
58	0.15511
59	0.17601
60	0.17616
61	0.18532
62	0.19396
63	0.21636
64	0.21651
65	0.22550
66	0.24440
67	0.21897
68	0.28727
69	0.29012
70	0.28094
71	0.31870
72	0.34092
73	0.35008
74	0.36215
75	0.39752
76	0.41266
77	0.42850
78	0.42713
79	0.47474
80	0.49773
81	0.50994
82	0.51709
83	0.57171
84	0.59056
85	0.61991
86	0.61802
87	0.65273
88	0.71472
89	0.70360
90	0.78284
91	0.80482
92	0.80236
93	0.81077
94	0.89849
95	0.90750
96	0.94851
97	0.96183
98	0.97578
99	0.98779
100	1.03469
