# incr_list_o ? [1..l * 2]
1	0.00025
2	0.00050
3	0.00083
4	0.00126
5	0.00178
6	0.00243
7	0.00324
8	0.00417
9	0.00537
10	0.00665
11	0.00833
12	0.01033
13	0.01198
14	0.01446
15	0.01697
16	0.02009
17	0.02342
18	0.02740
19	0.03066
20	0.03596
21	0.04000
22	0.04572
23	0.05166
24	0.05766
25	0.06457
26	0.07134
27	0.07889
28	0.08732
29	0.09607
30	0.10537
31	0.11555
32	0.12647
33	0.13729
34	0.14938
35	0.16235
36	0.17500
37	0.18919
38	0.20410
39	0.21963
40	0.23895
41	0.25209
42	0.27143
43	0.28944
44	0.30933
45	0.33381
46	0.35331
47	0.37962
48	0.40014
49	0.42135
50	0.44833
51	0.47385
52	0.50179
53	0.52713
54	0.55839
55	0.58674
56	0.62552
57	0.65372
58	0.68589
59	0.72743
60	0.76020
61	0.80470
62	0.83220
63	0.87351
64	0.91646
65	0.95925
66	1.00285
67	1.04501
68	1.09102
69	1.13617
70	1.19028
71	1.23626
72	1.29404
73	1.34773
74	1.40113
75	1.45237
76	1.51859
77	1.57171
78	1.63499
79	1.70377
80	1.77902
81	1.83474
82	1.90738
83	1.98064
84	2.05300
85	2.10663
86	2.18254
87	2.25917
88	2.35437
89	2.41800
90	2.50451
91	2.58504
92	2.67579
93	2.75867
94	2.85545
95	2.93591
96	3.02591
97	3.13044
98	3.23821
99	3.31084
100	3.42488
